Analysis group,Analysis number,Analysis name,Analysis group name,Data source,Data source eligibility,Data type,Log-scale data,Outcome,Intervention grouping,Experimental intervention,Control intervention,Subgroup by,Filter criteria,Experimental group label,Control group label,Statistical method,Effect measure,Unit of effect measure,Analysis model,Heterogeneity estimator,Tau² CI,Subgroup estimates,Overall estimates,Test for subgroup differences,Prediction interval,Swap event and non-event,CI method,CI/PI level,Sort studies by,Graph label (left),Graph label (right),Graph scale,Show risk of bias,Experimental cases,Experimental N,Control cases,Control N,Mean,CI start,CI end,PI start,PI end,Heterogeneity Tau²,Tau² CI start,Tau² CI end,Heterogeneity Chi²,Heterogeneity df,Heterogeneity P,Heterogeneity I²,Effect Z,Effect T,Effect P,Subgroup Chi²,Subgroup df,Subgroup P,Subgroup I²,ID
10,8,SAE at 18 months,Subgroup analysis - MCI/Mild dementia,Custom input,#N/A,Dichotomous,true,,,,,,,Any Aβ-mAbs,Placebo,IV,Risk Ratio,,Random effect,REML,false,true,true,true,false,false,Wald,95%,STUDY,Favours Aβ-mAbs,Favours placebo,5,false,849,4658,820,4649,1.0335996135378502,0.9229691821412636,1.157490609412441,,,0.008733462503868824,,,9.29392707689404,6,0.15771019032469036,37.94609374248976,0.5721547261636903,,0.5672171590177923,0.5869598731442266,1,0.4435972741462183,0,analysis:464072816103108556
10,9,SAE at 24 months,Subgroup analysis - MCI/Mild dementia,Custom input,#N/A,Dichotomous,true,,,,,,,Any Aβ-mAbs,Placebo,IV,Risk Ratio,,Random effect,REML,false,true,true,true,false,false,Wald,95%,STUDY,Favours Aβ-mAbs,Favours placebo,100,false,129,1132,101,805,1.0171003584336336,0.7766752916111401,1.3319506237669374,,,0.007680397394594064,,,2.002699668527111,2,0.36738331264104185,12.953404096888784,0.1232263072037814,,0.9019278942062182,1.6892481999558946,1,0.193700185404992,40.80206804268849,analysis:464072818488356929
10,10,Mortality at 24 months,Subgroup analysis - MCI/Mild dementia,Custom input,#N/A,Dichotomous,true,,,,,,,Any Aβ-mAbs,Placebo,IV,Risk Ratio,,Random effect,REML,false,true,true,true,false,false,Wald,95%,STUDY,Favours Aβ-mAbs,Favours placebo,100,false,8,1132,9,805,0.7386863934944169,0.2582976005672591,2.1125151249390046,,,1.823457844027375e-9,,,2.139659714534498,2,0.3430670882250024,1.9101915213187958e-7,0.5649595071866405,,0.5721013093886611,1.6074466417891382,1,0.2048511508758455,37.789536896417985,analysis:464072919510417435
10,11,Study discontinuation at 18 months,Subgroup analysis - MCI/Mild dementia,Custom input,#N/A,Dichotomous,true,,,,,,,Any Aβ-mAbs,Placebo,IV,Risk Ratio,,Random effect,REML,false,true,true,true,false,false,Wald,95%,STUDY,Favours Aβ-mAbs,Favours placebo,10,false,1644,7038,1233,5467,1.1066137889762808,1.0058789399688157,1.2174368398551074,,,0.011347045268719328,,,18.17250948914434,8,0.019969730526188778,55.70074135549202,2.0803371331714073,,0.03749462113086454,1.7478287076970638,1,0.1861500385492516,42.78615543982005,analysis:464072922899415151
11,1,ADAS-Cog scale at 18 months,Sensitivity analysis: including only participants in whom PET or CSF testing for amyloid was abnormal,Custom input,#N/A,Continuous,false,,,,,,,Any Aβ-mAbs,Placebo,IV,Std. Mean Difference,,Random effect,REML,false,true,true,true,false,false,HKSJ,95%,STUDY,Favours Aβ-mAbs,Favours placebo,2,true,,3296,,3435,-0.12693720335457306,-0.1856955079971654,-0.06817889871198073,,,0.0005071490984173332,,,6.801169629836933,7,0.4498716947701501,8.638894661839089,,5.108363681033205,0.0000017676159857491512,4.012001344518409,5,0.5476894275188628,0,analysis:462963492471138585
11,2,MMSE scale at 18 months,Sensitivity analysis: including only participants in whom PET or CSF testing for amyloid was abnormal,Custom input,#N/A,Continuous,false,,,,,,,Any Aβ-mAbs,Placebo,IV,Std. Mean Difference,,Random effect,REML,false,true,true,true,false,false,HKSJ,95%,STUDY,Favours placebo,Favours Aβ-mAbs,2,false,,2435,,2565,0.10168716743844906,0.013978091330352299,0.18939624354654588,,,4.232933114008572e-10,,,9.593677146889691,6,0.14283940190892075,0.000006304018810003947,,2.836873287363688,0.00033423456940061063,0.8417880640558396,4,0.9327596319921164,0,analysis:462963475038562524
11,3,CDR-SB scale at 18 months,Sensitivity analysis: including only participants in whom PET or CSF testing for amyloid was abnormal,Custom input,#N/A,Continuous,false,,,,,,,Any Aβ-mAbs,Placebo,IV,Std. Mean Difference,,Random effect,REML,false,true,true,true,false,false,HKSJ,95%,STUDY,Favours Aβ-mAbs,Favours placebo,2,true,,3295,,3436,-0.13682442927549915,-0.27918586243249677,0.005537003881498526,,,0.011448938210774941,,,21.90768804792986,7,0.0026351843904139916,68.05810728662523,,2.272654583530216,0.0077609973323313685,15.336107521628021,5,0.009018741926288931,67.39720301941898,analysis:462963566584228433
11,4,ADCS-ADL score at 18 months,Sensitivity analysis: including only participants in whom PET or CSF testing for amyloid was abnormal,Custom input,#N/A,Continuous,false,,,,,,,Any Aβ-mAbs,Placebo,IV,Std. Mean Difference,,Random effect,REML,false,true,true,true,false,false,HKSJ,95%,STUDY,Favours placebo,Favours Aβ-mAbs,2,true,,1069,,1087,0.08816284866786056,-0.25056020753968244,0.4268859048754037,,,0,,,0.3825480730361851,1,0.5362430266499582,0,,3.3071714039147215,0.04080548270550431,0.3825480730361851,1,0.5362430266499582,0,analysis:462963688878599397
11,5,Any Aria E at 18 months,Sensitivity analysis: including only participants in whom PET or CSF testing for amyloid was abnormal,Custom input,#N/A,Dichotomous,true,,,,,,,Any Aβ-mAbs,Placebo,IV,Risk Ratio,,Random effect,REML,false,true,true,true,false,false,Wald,95%,STUDY,Favours Aβ-mAbs,Favours placebo,100,true,707,4301,63,4302,10.81586280412416,8.400065650773456,13.926425466313475,,,2.089081265673731e-9,,,6.622095631085374,5,0.2502963295056002,0.0000018934321632401233,18.461928752572078,,4.1813981933892796e-76,6.350029358326768,4,0.17448848478898404,37.008165249585566,analysis:462963700954000653
11,6,SAE at 18 months,Sensitivity analysis: including only participants in whom PET or CSF testing for amyloid was abnormal,Custom input,#N/A,Dichotomous,true,,,,,,,Any Aβ-mAbs,Placebo,IV,Risk Ratio,,Random effect,REML,false,true,true,true,false,false,Wald,95%,STUDY,Favours Aβ-mAbs,Favours placebo,5,true,629,4304,634,4312,0.9956184087406975,0.8729285417371393,1.1355523028846624,,,0.00925907235201711,,,7.593995899465209,5,0.18007656117553972,35.172906841017245,0.06544450281617943,,0.947820091878093,7.316751029542286,4,0.1200666636918013,45.33092647474943,analysis:462963717069827482
11,7,Mortality at 18 months,Sensitivity analysis: including only participants in whom PET or CSF testing for amyloid was abnormal,Custom input,#N/A,Dichotomous,true,,,,,,,Any Aβ-mAbs,Placebo,IV,Risk Ratio,,Random effect,REML,false,true,true,true,false,false,Wald,95%,STUDY,Favours Aβ-mAbs,Favours placebo,100,true,31,3209,40,3236,0.789896785844316,0.3743483373656336,1.6667282047462901,,,0.26031324386245436,,,6.674710937174618,3,0.08302125293438511,47.81524539134082,0.6190622100016995,,0.5358753806880281,6.674710937174618,3,0.08302125293438511,55.054233385724885,analysis:462963723021807109
11,8,Study discontinuation at 18 months,Sensitivity analysis: including only participants in whom PET or CSF testing for amyloid was abnormal,Custom input,#N/A,Dichotomous,true,,,,,,,Any Aβ-mAbs,Placebo,IV,Risk Ratio,,Random effect,REML,false,true,true,true,false,false,Wald,95%,STUDY,Favours Aβ-mAbs,Favours placebo,10,false,881,5418,626,4341,1.1906490970194992,1.0272838304680885,1.3799937565330795,,,0.01748909889518633,,,10.881730061064895,5,0.05377605039431388,53.97771969361591,2.317456158824634,,0.02047889620032396,10.523465794492022,4,0.032475328905739786,61.98970873176023,analysis:462963732430941786
12,1,Any Aria at 18 months,Sensitivity analysis: likely scenario,Custom input,#N/A,Dichotomous,true,,,,,,,Any Aβ-mAbs,Placebo,IV,Risk Ratio,,Random effect,REML,false,true,true,true,false,false,Wald,95%,STUDY,Favours Aβ-mAbs,Favours placebo,100,false,516,1758,217,1773,2.407894978184837,2.086713047151984,2.7785124715068057,,,0,,,0.26284470083820205,1,0.608172552650559,0,12.030528785885604,,2.455828105728698e-33,0.26284470083820205,1,0.608172552650559,0,analysis:463049337220967878
12,2,Any Aria E at 18 months,Sensitivity analysis: likely scenario,Custom input,#N/A,Dichotomous,true,,,,,,,Any Aβ-mAbs,Placebo,IV,Risk Ratio,,Random effect,REML,false,true,false,true,false,false,Wald,95%,STUDY,Favours Aβ-mAbs,Favours placebo,100,true,,,,,,,,,,,,,,,,,,,,36.203080622111045,5,8.648506079067531e-7,86.18902061901814,analysis:463049339422977484
12,3,Any Aria E at 24 months,Sensitivity analysis: likely scenario,Custom input,#N/A,Dichotomous,true,,,,,,,Any Aβ-mAbs,Placebo,IV,Risk Ratio,,Random effect,REML,false,true,false,true,false,false,Wald,95%,STUDY,Favours Aβ-mAbs,Favours placebo,100,true,,,,,,,,,,,,,,,,,,,,18.49916127499054,2,0.0000961530352782125,89.18869904278392,analysis:463049341595889240
12,4,Any Aria E above 24 months,Sensitivity analysis: likely scenario,Custom input,#N/A,Dichotomous,true,,,,,,,Gantenerumab,Placebo,IV,Risk Ratio,,Random effect,REML,false,true,true,true,false,false,Wald,95%,STUDY,Favours gantenerumab,Favours placebo,100,true,258,1004,35,955,7.011725500864049,4.424085173938954,11.112872507310728,,,0.0478241715183116,,,1.7373239613669478,1,0.18747836182976796,42.44021136891546,8.288872655143255,,1.1432686627322867e-16,,,,,analysis:463049343421984404
12,5,Symptomatic Aria E at 18 months,Sensitivity analysis: likely scenario,Custom input,#N/A,Dichotomous,true,,,,,,,Any Aβ-mAbs,Placebo,IV,Risk Ratio,,Random effect,REML,false,true,true,true,false,false,HKSJ,95%,STUDY,Favours Aβ-mAbs,Favours placebo,100,true,84,1758,3,1773,22.9550879799467,0.3489069429938378,1510.2481471009291,,,0,,,0.3652666919990337,1,0.545595958033096,0,,9.510448907660056,9.038093506696589e-9,0.3652666919990338,1,0.545595958033096,0,analysis:463049345043082935
12,6,Symptomatic Aria E above 24 months,Sensitivity analysis: likely scenario,Custom input,#N/A,Dichotomous,true,,,,,,,Gantenerumab,Placebo,IV,Risk Ratio,,Random effect,REML,false,true,true,true,false,false,Wald,95%,STUDY,Favours gantenerumab,Favours placebo,100,true,57,1004,15,955,3.563913804180534,2.027776401261072,6.263748604495806,,,0,,,0.5438380777894651,1,0.46084652978013674,0,4.417010767318361,,0.000010007524690193526,,,,,analysis:463049347084136155
12,7,Any Aria H at 18 months,Sensitivity analysis: likely scenario,Custom input,#N/A,Dichotomous,true,,,,,,,Any Aβ-mAbs,Placebo,IV,Risk Ratio,,Random effect,REML,false,true,false,true,false,false,Wald,95%,STUDY,Favours Aβ-mAbs,Favours placebo,100,true,,,,,,,,,,,,,,,,,,,,15.229044891053954,2,0.0004932388401901466,86.867200048935,analysis:463049349684342526
12,8,Any Aria H at 24 months,Sensitivity analysis: likely scenario,Custom input,#N/A,Dichotomous,true,,,,,,,Any Aβ-mAbs,Placebo,IV,Risk Ratio,,Random effect,REML,false,true,true,true,false,false,Wald,95%,STUDY,Favours Aβ-mAbs,Favours placebo,100,true,100,1536,86,1214,1.1647734143120632,0.8879246937836456,1.527941633098401,,,0,,,1.0124283631496613,3,0.7982447116845778,0,1.1015187536013973,,0.2706709644294769,0.8205451458708994,2,0.6634696530702979,0,analysis:463049351389851438
12,9,Any Aria H above 24 months,Sensitivity analysis: likely scenario,Custom input,#N/A,Dichotomous,true,,,,,,,Gantenerumab,Placebo,IV,Risk Ratio,,Random effect,REML,false,true,true,true,false,false,Wald,95%,STUDY,Favours gantenerumab,Favours placebo,100,true,238,1004,125,955,1.8114479206226242,1.4867453659136254,2.207064938192424,,,0,,,0.05372243726779154,1,0.8167081077300175,0,5.894926518998627,,3.748481522179864e-9,,,,,analysis:463049353117380458
12,10,Symptomatic Aria H at 18 months,Sensitivity analysis: likely scenario,Custom input,#N/A,Dichotomous,true,,,,,,,Lecanemab,Placebo,IV,Risk Ratio,,Random effect,REML,false,true,true,true,false,false,HKSJ,95%,STUDY,Favours lecanemab,Favours placebo,100,true,6,898,2,897,2.9966592427616927,0.606452442031973,14.807371518104377,,,0,,,0,0,1,0,,0,0.17817119958988417,,,,,analysis:463049355092373388
12,11,SAE at 18 months,Sensitivity analysis: likely scenario,Custom input,#N/A,Dichotomous,true,,,,,,,Any Aβ-mAbs,Placebo,IV,Risk Ratio,,Random effect,REML,false,true,true,true,false,false,Wald,95%,STUDY,Favours Aβ-mAbs,Favours placebo,5,true,1039,5986,995,5976,1.0393899524678154,0.9341304869899411,1.1565102395621532,,,0.01082127103500945,,,13.63319653611215,8,0.09184142949116614,41.66032567467134,0.7091782881862533,,0.47821385031238184,12.08188799350441,5,0.033682848116105446,58.615739504553,analysis:463049926346354867
12,12,SAE at 24 months,Sensitivity analysis: likely scenario,Custom input,#N/A,Dichotomous,true,,,,,,,Any Aβ-mAbs,Placebo,IV,Risk Ratio,,Random effect,REML,false,true,true,true,false,false,Wald,95%,STUDY,Favours Aβ-mAbs,Favours placebo,100,true,196,1536,168,1214,1.010767189840979,0.8326816493322196,1.2269398669687943,,,0,,,2.0028666522935534,3,0.5718119675533719,0,0.1083025665944542,,0.913755686757973,1.5755972681021064,2,0.4548451331155493,0,analysis:463049930332254586
12,13,SAE above 24 months,Sensitivity analysis: likely scenario,Custom input,#N/A,Dichotomous,true,,,,,,,Gantenerumab,Placebo,IV,Risk Ratio,,Random effect,REML,false,true,true,true,false,false,Wald,95%,STUDY,Favours gantenerumab,Favours placebo,100,true,137,1004,158,955,0.8237606397871372,0.6672245404164605,1.017021333236581,,,0,,,0.6796972237983192,1,0.4096913612763531,0,1.8030011076060595,,0.07138804072988045,,,,,analysis:463049933437088182
12,14,Mortality at 18 months,Sensitivity analysis: likely scenario,Custom input,#N/A,Dichotomous,true,,,,,,,Any Aβ-mAbs,Placebo,IV,Risk Ratio,,Random effect,REML,false,true,true,true,false,false,Wald,95%,STUDY,Favours Aβ-mAbs,Favours placebo,100,true,85,4883,71,4879,1.1789919429755795,0.7388762249379347,1.8812650274653155,,,0.18180117928145018,,,11.583326589237494,6,0.07193659246289341,47.30965037136381,0.6906438160796603,,0.48978940972443896,5.569259386684179,4,0.23370853858970497,28.177164641248343,analysis:463050012395123288
12,15,Mortality at 24 months,Sensitivity analysis: likely scenario,Custom input,#N/A,Dichotomous,true,,,,,,,Any Aβ-mAbs,Placebo,IV,Risk Ratio,,Random effect,REML,false,true,true,true,false,false,Wald,95%,STUDY,Favours Aβ-mAbs,Favours placebo,100,true,16,1536,18,1214,0.824084985092706,0.40858720612152133,1.6621079967277879,,,0,,,2.2147962952109492,3,0.5290399353511102,0,0.540527566445005,,0.5888332577923221,1.309408168404578,2,0.5195958302506116,0,analysis:463050014657426105
12,16,Mortality above 24 months,Sensitivity analysis: likely scenario,Custom input,#N/A,Dichotomous,true,,,,,,,Gantenerumab,Placebo,IV,Risk Ratio,,Random effect,REML,false,true,false,true,false,false,Wald,95%,STUDY,Favours gantenerumab,Favours placebo,100,true,,,,,,,,,,,,,,,,,,,,,,,,analysis:463050016295826164
12,17,Infusion reaction at 18 months,Sensitivity analysis: likely scenario,Custom input,#N/A,Dichotomous,true,,,,,,,Any Aβ-mAbs,Placebo,IV,Risk Ratio,,Random effect,REML,false,true,false,true,false,false,Wald,95%,STUDY,Favours Aβ-mAbs,Favours placebo,100,false,,,,,,,,,,,,,,,,,,,,41.171494942414384,2,1.06166808677699e-9,95.1422701488072,analysis:463050121925440340
12,18,Infusion reaction at 24 months,Sensitivity analysis: likely scenario,Custom input,#N/A,Dichotomous,true,,,,,,,Crenezumab,Placebo,IV,Risk Ratio,,Random effect,REML,false,true,true,true,false,false,Wald,95%,STUDY,Favours crenezumab,Favours placebo,100,false,47,404,45,409,1.0573707370737073,0.7195137868832507,1.5538727624147786,,,0,,,0,0,1,0,0.2840189645091907,,0.7763958476233727,,,,,analysis:463050123379290998
13,1,ADAS-cog scale at 18 months,Sensitivity analysis: excluding studies at high risk of bias,Custom input,#N/A,Continuous,false,,,,,,,Any Aβ-mAbs,Placebo,IV,Std. Mean Difference,,Random effect,REML,false,true,true,true,false,false,HKSJ,95%,STUDY,Favours Aβ-mAbs,Favours placebo,2,false,,4904,,4983,-0.10993246867978823,-0.15897441164498113,-0.06089052571459533,,,0.0006488019611471138,,,12.527827066402345,11,0.3253022651912605,11.1561542029597,,4.933730549865334,6.731022895040428e-7,9.504820110431979,6,0.14711427957263246,36.87413406788495,analysis:463051597017332124
13,2,CDR-SB scale at 18 months,Sensitivity analysis: excluding studies at high risk of bias,Custom input,#N/A,Continuous,false,,,,,,,Any Aβ-mAbs,Placebo,IV,Std. Mean Difference,,Random effect,REML,false,true,true,true,false,false,HKSJ,95%,STUDY,Favours Aβ-mAbs,Favours placebo,2,false,,3946,,4093,-0.12849433912776467,-0.2476051710802411,-0.0093835071752882,,,0.009791304732898064,,,22.776746771931606,7,0.0018640662321287582,69.58932576101303,,2.5509084726046134,0.004159708038948741,21.347425192971034,5,0.0006963174956031715,76.57797155955686,analysis:463051605425339007
13,3,ADCS-ADL-MCI score at 18 months,Sensitivity analysis: excluding studies at high risk of bias,Custom input,#N/A,Contrast level,false,,,,,,,Any Aβ-mAbs,Placebo,IV,Std. Mean Difference,,Random effect,REML,false,true,true,true,false,false,HKSJ,95%,STUDY,Favours placebo,Favours Aβ-mAbs,2,false,,1377,,1417,0.2243591813263046,0.052348939285227325,0.3963694233673819,,,1.5873572197656918e-9,,,2.21571706031497,2,0.3302657393786448,0.00003223739621396802,,5.612105615412855,3.4836622694342076e-9,0.2963605084454001,1,0.5861731870430997,0,analysis:463051614811405072
13,4,Any Aria E at 24 months,Sensitivity analysis: excluding studies at high risk of bias,Custom input,#N/A,Dichotomous,true,,,,,,,Any Aβ-mAbs,Placebo,IV,Risk Ratio,,Random effect,REML,false,true,true,true,false,false,Wald,95%,STUDY,Favours Aβ-mAbs,Favours placebo,100,false,54,851,6,858,7.049380973355793,2.159462033144989,23.012107341909523,,,0.41465093243432855,,,3.6099854081596665,2,0.16447572186627413,37.60116902102795,3.23535982407809,,0.0012148952229720767,2.2892004899689087,1,0.13027713803237262,56.31662650860337,analysis:463051624519908224
13,5,SAE at 24 months,Sensitivity analysis: excluding studies at high risk of bias,Custom input,#N/A,Dichotomous,true,,,,,,,Any Aβ-mAbs,Placebo,IV,Risk Ratio,,Random effect,REML,false,true,true,true,false,false,Wald,95%,STUDY,Favours Aβ-mAbs,Favours placebo,100,false,137,856,141,866,0.9812501178278273,0.7913038306416728,1.216791523625436,,,0,,,0.9258029465763137,2,0.62945468220436,0,0.17243215426503314,,0.8630977953713148,0.49853356238486707,1,0.4801452233024952,0,analysis:463051635000425484
13,6,Mortality at 24 months,Sensitivity analysis: excluding studies at high risk of bias,Custom input,#N/A,Dichotomous,true,,,,,,,Any Aβ-mAbs,Placebo,IV,Risk Ratio,,Random effect,REML,false,true,true,true,false,false,Wald,95%,STUDY,Favours Aβ-mAbs,Favours placebo,100,false,13,856,14,866,0.9391327943059657,0.38115350159305555,2.313950683004825,,,0.13456035216156986,,,2.45104760775634,2,0.29360394578251403,20.497476629559475,0.13649230732273834,,0.8914321055377931,1.5456594809499682,1,0.21377783560803676,35.302696853682406,analysis:463051641142459465
