outcome,measure,k,intercept,slope_per_10cl,slope_ci_low,slope_ci_high,slope_p,tau2,i2
ADAS-Cog scale at 18 months,SMD,8,-0.020572169227026597,-0.020689481404925193,-0.04224369427241579,8.647314625654032e-4,0.05715645316592521,0,0
MMSE scale at 18 months,SMD,5,0.013736974366457145,0.015129355470401638,-0.032461739308486504,0.06272045024928978,0.3861886826694936,0.0029347783939886896,22.559904000076834
CDR-SB scale at 18 months,SMD,6,0.07697552053556421,-0.043214544823727274,-0.09841951405853952,0.011990424411084964,0.09544568077694321,1.034724639047974e-6,0.016686267996971586
ADAS-Cog scale at 18 months,MD,8,-0.2306011754901654,-0.157563382142718,-0.32482933506488754,0.009702570779451525,0.060685310873344195,0,0
MMSE scale at 18 months,MD,5,0.04100352839384404,0.059147181970567494,-0.11381484673207619,0.23210921067321116,0.35608130234937474,0.03320524247657963,20.834302967700058
CDR-SB scale at 18 months,MD,6,0.14870336959731423,-0.09401887047311315,-0.24242253182555473,0.05438479087932842,0.15340034618147938,0.008855386619949364,23.839213219246652
