analysis_id,outcome,measure,agent,k,estimate,ci_low,ci_high,p_value,tau2,i2,pi_low,pi_high
1.1,ADAS-Cog scale at 18 months,SMD,Aducanumab,3,-0.14145472503613618,-0.4684728948260115,0.18556344475373918,0.20378380285754916,0.004358217899013016,25.02995768945546,-0.5746103426759278,0.2917008926036555
1.1,ADAS-Cog scale at 18 months,SMD,Bapineuzumab,4,-0.019515970747066014,-0.13612346405203202,0.09709152255789998,0.6312179337933,0,0,-0.13612346405203202,0.09709152255789998
1.1,ADAS-Cog scale at 18 months,SMD,Crenezumab,1,-0.3377306247437116,-1.1030536622352447,0.42759241274782145,0.3870850954064662,0,NA,NA,NA
1.1,ADAS-Cog scale at 18 months,SMD,Donanemab,1,-0.17461605996336704,-0.28438211418742343,-0.06485000573931066,0.0018213553957008525,0,NA,NA,NA
1.1,ADAS-Cog scale at 18 months,SMD,Gantenerumab,1,-0.02475644808313742,-0.23678810339241196,0.1872752072261371,0.8189917268245348,0,NA,NA,NA
1.1,ADAS-Cog scale at 18 months,SMD,Lecanemab,1,-0.16356516579866837,-0.25808171500822585,-0.06904861658911086,6.943348831930687e-4,0,NA,NA,NA
1.1,ADAS-Cog scale at 18 months,SMD,Solanezumab,2,-0.11441981394089736,-0.20506189361494748,-0.023777734266847234,0.013356757964665995,0.0018960032811586483,43.543421152056055,NA,NA
1.2,ADAS-Cog scale at 24 months,SMD,Crenezumab,1,0.035927,-0.2685416452143902,0.3403956452143902,0.8171020854746134,0,NA,NA,NA
1.2,ADAS-Cog scale at 24 months,SMD,Gantenerumab,1,-0.584878,-1.2043638165935748,0.034607816593574814,0.06424586215544333,0,NA,NA,NA
1.3,ADAS-Cog scale above 24 months,SMD,Gantenerumab,2,-0.1176549874200436,-0.2063118610737351,-0.028998113766352113,0.009294325651543705,0,0,NA,NA
1.4,MMSE scale at 18 months,SMD,Aducanumab,3,0.09311476170367355,-0.7132183701912456,0.8994478935985926,0.6685250789774864,0.01625056236010746,55.2514639436237,-0.8820861733843395,1.0683156967916867
1.4,MMSE scale at 18 months,SMD,Crenezumab,1,0.16793884927381217,-0.5926977031526056,0.92857540170023,0.6652072637196613,0,NA,NA,NA
1.4,MMSE scale at 18 months,SMD,Donanemab,1,0.14556071158732342,0.03559766079525882,0.255523762379388,0.009474210427497128,0,NA,NA,NA
1.4,MMSE scale at 18 months,SMD,Gantenerumab,1,0.04808638527620419,-0.16396803771329987,0.26014080826570823,0.6567172878250234,0,NA,NA,NA
1.4,MMSE scale at 18 months,SMD,Solanezumab,2,0.12308294556771492,0.0562864755803479,0.18987941555508192,3.0438382132308135e-4,0,0,NA,NA
1.5,MMSE scale at 24 months,SMD,Crenezumab,1,-0.094021,-0.3888701419782675,0.20082814197826757,0.5319776023153626,0,NA,NA,NA
1.5,MMSE scale at 24 months,SMD,Gantenerumab,1,0.184919,-0.4267622400071364,0.7966002400071364,0.5535011059778423,0,NA,NA,NA
1.6,ADAS-Cog 24 months mean difference,MD,Crenezumab,1,0.26,-1.8763607431486593,2.3963607431486595,0.811468413701889,0,NA,NA,NA
1.6,ADAS-Cog 24 months mean difference,MD,Gantenerumab,1,-3.71,-7.492730490162304,0.07273049016230448,0.05457056124297725,0,NA,NA,NA
2.1,CDR-SB scale at 18 months,SMD,Aducanumab,3,-0.06684018363332928,-0.6216917297681404,0.48801136250148186,0.6558776021586713,0.020541756130208012,61.52920724916822,-0.8963858921418248,0.7627055248751662
2.1,CDR-SB scale at 18 months,SMD,Crenezumab,1,-0.8031462679187892,-1.5968378115421125,-0.00945472429546601,0.04733261842136615,0,NA,NA,NA
2.1,CDR-SB scale at 18 months,SMD,Donanemab,1,-0.2931287586575765,-0.40390175211272944,-0.18235576520242353,2.1430711997463345e-7,0,NA,NA,NA
2.1,CDR-SB scale at 18 months,SMD,Gantenerumab,1,0.05066915011037523,-0.1613886898232896,0.2627269900440401,0.6395598757868096,0,NA,NA,NA
2.1,CDR-SB scale at 18 months,SMD,Lecanemab,1,-0.19222440616983708,-0.28658156670720614,-0.09786724563246804,6.528700803417123e-5,0,NA,NA,NA
2.1,CDR-SB scale at 18 months,SMD,Solanezumab,2,-0.07468737134774227,-0.14144130243054015,-0.007933440264944372,0.028314733201876777,0,0,NA,NA
2.2,CDR-SB scale at 24 months,SMD,Crenezumab,1,0.07009,-0.22719145728308177,0.36737145728308174,0.6440093345700291,0,NA,NA,NA
2.2,CDR-SB scale at 24 months,SMD,Gantenerumab,1,-0.125093,-0.7243813877328897,0.4741953877328897,0.6824553839373367,0,NA,NA,NA
2.3,CDR-SB scale above 24 months,SMD,Gantenerumab,2,-0.07010296517035751,-0.1587119765097488,0.018506046169033785,0.12099174319043678,0,0,NA,NA
2.4,CDR-SB 24 months mean difference,MD,Crenezumab,1,0.17,-0.6531848735068227,0.9931848735068228,0.6856525335449679,0,NA,NA,NA
2.4,CDR-SB 24 months mean difference,MD,Gantenerumab,1,-0.25,-1.4259783907240324,0.9259783907240324,0.6769222390213793,0,NA,NA,NA
3.1,DAD total score at 18 months,SMD,Bapineuzumab,4,0.04141224471514686,-0.15981967207131642,0.2426441615016101,0.5592504435881637,0.00824633215066201,47.33975760102408,-0.31074232858375805,0.3935668180140518
3.2,ADCS-ADL score at 18 months,SMD,Crenezumab,1,0.3280886894908053,-0.43688492470524043,1.093062303686851,0.4005682529512126,0,NA,NA,NA
3.2,ADCS-ADL score at 18 months,SMD,Solanezumab,2,0.08998845305109139,0.02322570134223649,0.1567512047599463,0.008246568120055775,0,0,NA,NA
3.3,ADCS-ADL score at 24 months,SMD,Crenezumab,1,-0.162711,-0.45703683159439534,0.13161483159439535,0.2785780178366547,0,NA,NA,NA
3.3,ADCS-ADL score at 24 months,SMD,Gantenerumab,1,0.46747,-0.16816983975415406,1.103109839754154,0.14946589189713325,0,NA,NA,NA
3.4,ADCS-ADL score above 24 months,SMD,Gantenerumab,2,0.06945122787161243,-0.0188582793976029,0.15776073514082775,0.12321497239665605,0,0,NA,NA
3.5,ADCS-ADL-MCI score at 18 months,SMD,Aducanumab,3,0.20065958791450902,-0.06248444140829526,0.46380361723731334,0.08167601032633637,0.00489827668238657,27.271818113711575,-0.1992475228142168,0.6005666986432349
3.5,ADCS-ADL-MCI score at 18 months,SMD,Lecanemab,1,0.246614,0.14758681968111378,0.34564118031888624,1.0553361619288916e-6,0,NA,NA,NA
3.6,ADCS-iADL score at 18 months,SMD,Donanemab,1,0.2086615152924401,0.09740270301361327,0.3199203275712669,2.3707256248493594e-4,0,NA,NA,NA
3.7,ADCS-ADL 24 months mean difference,MD,Crenezumab,1,-1.88,-5.192339133872691,1.4323391338726914,0.2659550155497046,0,NA,NA,NA
3.7,ADCS-ADL 24 months mean difference,MD,Gantenerumab,1,3.84,-1.2167070801133413,8.896707080113341,0.136652792031436,0,NA,NA,NA
3.8,ADCS-ADL-MCI 18 months mean difference,MD,Aducanumab,3,1.7386202971638574,0.597945843332037,2.879294750995678,0.02247026910177821,0,0,0.597945843332037,2.879294750995678
3.8,ADCS-ADL-MCI 18 months mean difference,MD,Lecanemab,1,2,1.1964147663385778,2.803585233661422,1.0714043136683432e-6,0,NA,NA,NA
4.1,Any ARIA at 18 months,RR,Donanemab,1,2.474848949409324,2.0643954576213117,2.9669108696110933,1.193695540901563e-22,0,NA,NA,NA
4.1,Any ARIA at 18 months,RR,Lecanemab,1,2.2680597406000262,1.788092097826977,2.8768624352079777,1.4751099299293713e-11,0,NA,NA,NA
4.1,Symptomatic ARIA H at 18 months,RR,Lecanemab,1,2.9966592427616936,0.6064524420319731,14.807371518104377,0.17817119958296707,0,NA,NA,NA
