agent,adas_md,adas_ci_low,adas_ci_high,cdr_sb_md,cdr_ci_low,cdr_ci_high,aria_e_excess_per_1000,aria_e_ci_low_per_1000,aria_e_ci_high_per_1000,discontinuation_excess_per_1000,discontinuation_ci_low_per_1000,discontinuation_ci_high_per_1000
Aducanumab,-1.2755515805298996,-2.876602670681677,0.3254995096218778,-0.03743362691017734,-1.2947254369937358,1.219858183173381,326.34445196067946,296.4230349333272,356.26586898803174,28.28670422288841,5.256428041516183,51.31698040426064
Lecanemab,-1.4400000000000004,-2.270355336365532,-0.6096446636344685,-0.44999999999999996,-0.6702865019455746,-0.22971349805442529,109.11278128282099,85.85385873031615,132.37170383532583,32.12018284159274,-2.774466826937369,67.01483251012284
Donanemab,-1.3499999999999996,-2.195514936058867,-0.50448506394113235,-0.7,-0.9636862123777886,-0.4363137876222113,219.7332875488584,189.55288134294264,249.91369375477416,71.11606668790485,31.460880744956064,110.77125263085364
