analysis_id,outcome,measure,scenario,k,estimate,ci_low,ci_high,p_value,tau2,i2,pi_low,pi_high
1.1,ADAS-Cog scale at 18 months,MD,Cochrane class pool,13,-1.0856713831974472,-1.513972871697102,-0.6573698946977925,1.3134111911677055e-4,0,0,-1.513972871697102,-0.6573698946977925
1.1,ADAS-Cog scale at 18 months,MD,Exclude futility-terminated trials,9,-1.0551664520901671,-1.6891634743183208,-0.42116942986201333,0.004961941490137247,0.13673542482518583,24.40659273995727,-2.1177407080743245,0.007407803893990206
1.1,ADAS-Cog scale at 18 months,MD,Exclude all early-terminated trials,6,-1.2496358425245893,-1.8019893357273475,-0.6972823493218311,0.0021218723181111857,2.363131484177286e-6,7.055503736931548e-4,-1.8020034708017119,-0.6972682142474667
1.3,ADAS-Cog scale above 24 months,MD,Cochrane class pool,2,-1.2670154834383593,-2.219629855240101,-0.31440111163661777,0.009138444036168814,0,0,NA,NA
1.3,ADAS-Cog scale above 24 months,MD,Exclude futility-terminated trials,2,-1.2670154834383593,-2.219629855240101,-0.31440111163661777,0.009138444036168814,0,0,NA,NA
1.3,ADAS-Cog scale above 24 months,MD,Exclude all early-terminated trials,2,-1.2670154834383593,-2.219629855240101,-0.31440111163661777,0.009138444036168814,0,0,NA,NA
1.4,MMSE scale at 18 months,MD,Cochrane class pool,8,0.8491660202540409,-0.2972188485605277,1.9955508890686096,0.1233125510932536,1.2369972350038456,92.185820280217,-2.0197717272537785,3.7181037677618605
1.4,MMSE scale at 18 months,MD,Exclude futility-terminated trials,4,1.56657897191142,-1.5657775245872543,4.698935468410094,0.20970465584451453,3.295421492951968,97.33867641900898,-5.0051459970919225,8.138303940914762
1.4,MMSE scale at 18 months,MD,Exclude all early-terminated trials,3,0.6309584921569169,0.1586277540630382,1.1032892302507955,0.028961818033991008,0,0,0.1586277540630382,1.1032892302507955
2.1,CDR-SB scale at 18 months,MD,Cochrane class pool,9,-0.2916091699352105,-0.5827770296388439,-4.413102315771744e-4,0.04972794206433728,0.05821159810982466,65.78390042307639,-0.9195645206073786,0.3363461807369576
2.1,CDR-SB scale at 18 months,MD,Exclude futility-terminated trials,5,-0.36886507013740627,-0.8034424888273516,0.06571234855253905,0.07794990576697876,0.04227966240290508,62.50458518753804,-1.0863443683947673,0.34861422811995485
2.1,CDR-SB scale at 18 months,MD,Exclude all early-terminated trials,4,-0.42161243530191905,-0.7769175050388317,-0.06630736556500644,0.03252420469395355,0.027373054672494426,58.45822744092503,-1.0568092695017546,0.21358439889791658
2.3,CDR-SB scale above 24 months,MD,Cochrane class pool,2,-0.22751432080982503,-0.5168827865852184,0.06185414496556835,0.12331420475948286,0,0,NA,NA
2.3,CDR-SB scale above 24 months,MD,Exclude futility-terminated trials,2,-0.22751432080982503,-0.5168827865852184,0.06185414496556835,0.12331420475948286,0,0,NA,NA
2.3,CDR-SB scale above 24 months,MD,Exclude all early-terminated trials,2,-0.22751432080982503,-0.5168827865852184,0.06185414496556835,0.12331420475948286,0,0,NA,NA
3.1,DAD total score at 18 months,MD,Cochrane class pool,4,0.7424137711537498,-3.01091018604994,4.495737728357439,0.5737006232602254,2.690330122910305,47.77267168178479,-5.686817027954976,7.171644570262475
3.1,DAD total score at 18 months,MD,Exclude futility-terminated trials,4,0.7424137711537498,-3.01091018604994,4.495737728357439,0.5737006232602254,2.690330122910305,47.77267168178479,-5.686817027954976,7.171644570262475
3.1,DAD total score at 18 months,MD,Exclude all early-terminated trials,2,1.3456671564681106,-3.9451640253079447,6.6364983382441665,0.6181343571807246,11.846602596827502,81.25241835958504,NA,NA
3.2,ADCS-ADL score at 18 months,MD,Cochrane class pool,3,1.3153261832866292,0.6195253236913434,2.011127042881915,0.014781456439520418,0,0,0.6195253236913434,2.011127042881915
3.2,ADCS-ADL score at 18 months,MD,Exclude futility-terminated trials,2,1.2809963481262268,0.330720021604036,2.2312726746484177,0.008239842932263012,0,0,NA,NA
3.2,ADCS-ADL score at 18 months,MD,Exclude all early-terminated trials,2,1.2809963481262268,0.330720021604036,2.2312726746484177,0.008239842932263012,0,0,NA,NA
3.4,ADCS-ADL score above 24 months,MD,Cochrane class pool,2,0.9542616730399138,-0.26516089548939625,2.173684241569224,0.12508528558903328,0,0,NA,NA
3.4,ADCS-ADL score above 24 months,MD,Exclude futility-terminated trials,2,0.9542616730399138,-0.26516089548939625,2.173684241569224,0.12508528558903328,0,0,NA,NA
3.4,ADCS-ADL score above 24 months,MD,Exclude all early-terminated trials,2,0.9542616730399138,-0.26516089548939625,2.173684241569224,0.12508528558903328,0,0,NA,NA
3.6,ADCS-iADL score at 18 months,MD,Cochrane class pool,1,1.75,0.8213410087695308,2.6786589912304692,2.212494383262123e-4,0,NA,NA,NA
3.6,ADCS-iADL score at 18 months,MD,Exclude futility-terminated trials,1,1.75,0.8213410087695308,2.6786589912304692,2.212494383262123e-4,0,NA,NA,NA
3.6,ADCS-iADL score at 18 months,MD,Exclude all early-terminated trials,1,1.75,0.8213410087695308,2.6786589912304692,2.212494383262123e-4,0,NA,NA,NA
7.1,NPI-Q score at 12 months,MD,Cochrane class pool,1,0.76,-1.6003089335954301,3.12030893359543,0.5279802213160714,0,NA,NA,NA
7.2,NPI-Q score at 18 months,MD,Cochrane class pool,2,0.5676844941718961,-0.9668629836069913,2.1022319719507836,0.46841435523337066,0,0,NA,NA
7.2,NPI-Q score at 18 months,MD,Exclude futility-terminated trials,1,6.500000000000001,-12.81461920011882,25.81461920011882,0.5095157694796356,0,NA,NA,NA
