Study,Year,Data source,ID: CRS,Char: Methods,Char: Participants,Char: Interventions,Char: Outcomes,Char: Notes
JapicCTI-163210 2016,2016,UNPUB,29686754,"<p>Multicenter, double-blind, placebo-controlled study and unblinded, uncontrolled, long-term study</p>","<p>Subjects aged&nbsp;50-84 years&nbsp;</p><p>""Diagnosed as having probable AD dementia based on the National Institute on Aging and the Alzheimer's Association (NIA-AA) core diagnostic criteria, or diagnosed as having mild to moderate dementia due to AD based on DSM-V<br>MMSE score is 18 to 28 at screening""</p>",<p>Crenezumab (2 doses)&nbsp;</p><p>Placebo&nbsp;</p><p>Intravenously infused every 4 weeks</p>,<p>-Serious Adverse Events</p>,"<p>Funding: Chugai Pharmaceutical Co., Ltd</p>"
Joseph-Mathurin 2024,2022,MIX,29686756,<p>RCT</p>,"<p>Mutation carriers (known DIAD pathogenic mutations, Presenilin1, Presenilin2, or APP genes), no cognitive symptoms or early dementia</p>",<p>Gantenerumab&nbsp;</p><p>Solanezumab&nbsp;</p><p>Placebo</p><p>Treatment duration: 4 years</p>,<p>-Dementia severity</p><p>-Cognitive function</p><p>-Amyloid-related imaging abnormality&nbsp;</p><p>-Symptomatic ARIA-E or ARIA-H</p><p>-Symptomatic brain haemorrhage</p>,"<p>Funding: Alzheimer’s Association, Eli Lilly and Company, F. Hoffmann-La Roche Ltd., Avid Radiopharmaceuticals (a wholly owned subsidiary of Eli Lilly and Company), GHR Foundation, FNIH and Accelerating Medicines Partnership, Cogstate, and Signant</p>"
