analysis_id,outcome,measure,scenario,k,estimate,ci_low,ci_high,p_value,tau2,i2,cochrane_estimate,cochrane_ci_low,cochrane_ci_high,abs_difference
1.1,ADAS-Cog scale at 18 months,SMD,Cochrane class pool,13,-0.11064448475099421,-0.1595158023712508,-0.06177316713073764,3.4624305163501705e-4,6.30164670436144e-4,10.063043484523723,-0.11064536398214196,-0.15951584540997393,-0.06177488255430993,8.792311477490156e-7
1.2,ADAS-Cog scale at 24 months,SMD,Cochrane class pool,2,-0.2134511150771982,-0.8099558948678978,0.38305366471350144,0.4830868444649154,0.13068342239449993,67.81723560627916,-0.21345111507719816,-0.809955894867898,0.38305366471350166,2.7755575615628914e-17
1.3,ADAS-Cog scale above 24 months,SMD,Cochrane class pool,2,-0.11765498742004359,-0.20631186107373514,-0.02899811376635203,0.009294325651543764,0,0,-0.11765498742004356,-0.20631186107373511,-0.02899811376635204,2.7755575615628914e-17
1.4,MMSE scale at 18 months,SMD,Cochrane class pool,8,0.11479570285245187,0.04137632887883533,0.18821507682606842,0.0076829383393765575,1.9716864451821197e-6,0.03456161596491084,0.11479688442020251,0.04139533287165933,0.18819843596874575,1.1815677506410438e-6
1.5,MMSE scale at 24 months,SMD,Cochrane class pool,2,-0.041428372164212565,-0.3070308965575574,0.22417415222913223,0.7598232522121194,0,0,-0.04142837216421256,-1.427756429780876,1.3448996854524509,6.938893903907228e-18
1.6,ADAS-Cog 24 months mean difference,MD,Cochrane class pool,2,-1.4055037783375324,-5.245306413837063,2.4342988571619975,0.4731172993008963,5.423950000000001,68.82792226332252,-1.4055037783375313,-5.24530641383706,2.4342988571619975,1.1102230246251565e-15
2.1,CDR-SB scale at 18 months,SMD,Cochrane class pool,9,-0.12360704450684494,-0.2431373516407464,-0.004076737372943479,0.04422331763822816,0.00992017602479526,67.0327253844976,-0.12360717841703496,-0.24313682520931665,-0.00407753162475324,1.3391019001995907e-7
2.2,CDR-SB scale at 24 months,SMD,Cochrane class pool,2,0.031545498817869146,-0.23476977988617057,0.29786077752190887,0.8164129089891102,0,0,0.03154549881786915,-0.955748096928792,1.0188390945645305,6.938893903907228e-18
2.3,CDR-SB scale above 24 months,SMD,Cochrane class pool,2,-0.07010296517035747,-0.1587119765097488,0.01850604616903387,0.12099174319043722,0,0,-0.07010296517035751,-0.15871197650974886,0.01850604616903384,4.163336342344337e-17
2.4,CDR-SB 24 months mean difference,MD,Cochrane class pool,2,0.03187919463087242,-0.6425001302343454,0.7062585194960902,0.9261806438041792,0,0,0.0318791946308725,-0.6425001302343453,0.7062585194960903,7.632783294297951e-17
3.1,DAD total score at 18 months,SMD,Cochrane class pool,4,0.04141224471514686,-0.15981967207131642,0.2426441615016101,0.5592504435881637,0.008246332150662004,47.339757601024054,0.04141223915587343,-0.15981990507286503,0.24264438338461192,5.559273430488787e-9
3.2,ADCS-ADL score at 18 months,SMD,Cochrane class pool,3,0.09178831812571328,0.026397093158122498,0.15717954309330406,0.026336974192994692,0,0,0.09178831812571328,0.0263970930707882,0.15717954318063831,0
3.3,ADCS-ADL score at 24 months,SMD,Cochrane class pool,2,0.08682091859005583,-0.5172299831097308,0.6908718202898424,0.7781675439764495,0.13469954542799994,67.83682538876192,0.08682091859005586,-3.8291665632562832,4.002808400436395,2.7755575615628914e-17
3.4,ADCS-ADL score above 24 months,SMD,Cochrane class pool,2,0.06945122787161243,-0.01885827939760293,0.15776073514082778,0.12321497239665612,0,0,0.0694512278716124,-0.02554427680210744,0.16444673254533224,2.7755575615628914e-17
